monetary_code	rate_as_float	date_as_iso
USD	50101.3856	2021-09-05T09:24:00+00:00
GBP	36135.1734	2021-09-05T09:24:00+00:00
EUR	42160.4663	2021-09-05T09:24:00+00:00
USD	50083.7567	2021-09-05T09:25:00+00:00
GBP	36122.4587	2021-09-05T09:25:00+00:00
EUR	42145.6315	2021-09-05T09:25:00+00:00
USD	50083.7567	2021-09-05T09:25:00+00:00
GBP	36122.4587	2021-09-05T09:25:00+00:00
EUR	42145.6315	2021-09-05T09:25:00+00:00
USD	50082.3596	2021-09-05T09:25:00+00:00
GBP	36121.4511	2021-09-05T09:25:00+00:00
EUR	42144.4558	2021-09-05T09:25:00+00:00
USD	50082.3596	2021-09-05T09:25:00+00:00
GBP	36121.4511	2021-09-05T09:25:00+00:00
EUR	42144.4558	2021-09-05T09:25:00+00:00
USD	50082.3596	2021-09-05T09:25:00+00:00
GBP	36121.4511	2021-09-05T09:25:00+00:00
EUR	42144.4558	2021-09-05T09:25:00+00:00
USD	50082.3596	2021-09-05T09:25:00+00:00
GBP	36121.4511	2021-09-05T09:25:00+00:00
EUR	42144.4558	2021-09-05T09:25:00+00:00
USD	50082.3596	2021-09-05T09:25:00+00:00
GBP	36121.4511	2021-09-05T09:25:00+00:00
EUR	42144.4558	2021-09-05T09:25:00+00:00
USD	50102.0406	2021-09-05T09:28:00+00:00
GBP	36135.6458	2021-09-05T09:28:00+00:00
EUR	42161.0174	2021-09-05T09:28:00+00:00
USD	50198.1631	2021-09-05T09:33:00+00:00
GBP	36204.9733	2021-09-05T09:33:00+00:00
EUR	42241.9048	2021-09-05T09:33:00+00:00
USD	50196.3768	2021-09-05T09:38:00+00:00
GBP	36203.685	2021-09-05T09:38:00+00:00
EUR	42240.4017	2021-09-05T09:38:00+00:00
USD	50189.5017	2021-09-05T09:43:00+00:00
GBP	36198.7264	2021-09-05T09:43:00+00:00
EUR	42234.6162	2021-09-05T09:43:00+00:00
USD	50217.1341	2021-09-05T09:48:00+00:00
GBP	36218.656	2021-09-05T09:48:00+00:00
EUR	42257.869	2021-09-05T09:48:00+00:00
USD	50168.0683	2021-09-05T09:50:00+00:00
GBP	36183.2678	2021-09-05T09:50:00+00:00
EUR	42216.58	2021-09-05T09:50:00+00:00
USD	50204.0431	2021-09-05T09:53:00+00:00
GBP	36209.2142	2021-09-05T09:53:00+00:00
EUR	42246.8529	2021-09-05T09:53:00+00:00
USD	50160.33	2021-09-05T09:58:00+00:00
GBP	36177.6866	2021-09-05T09:58:00+00:00
EUR	42210.0682	2021-09-05T09:58:00+00:00
USD	50167.3686	2021-09-05T10:03:00+00:00
GBP	36182.7631	2021-09-05T10:03:00+00:00
EUR	42215.9912	2021-09-05T10:03:00+00:00
USD	50167.3686	2021-09-05T10:03:00+00:00
GBP	36182.7631	2021-09-05T10:03:00+00:00
EUR	42215.9912	2021-09-05T10:03:00+00:00
USD	50167.3686	2021-09-05T10:03:00+00:00
GBP	36182.7631	2021-09-05T10:03:00+00:00
EUR	42215.9912	2021-09-05T10:03:00+00:00
USD	50167.3686	2021-09-05T10:03:00+00:00
GBP	36182.7631	2021-09-05T10:03:00+00:00
EUR	42215.9912	2021-09-05T10:03:00+00:00
USD	50167.3686	2021-09-05T10:03:00+00:00
GBP	36182.7631	2021-09-05T10:03:00+00:00
EUR	42215.9912	2021-09-05T10:03:00+00:00
USD	50166.5717	2021-09-05T10:04:00+00:00
GBP	36182.1883	2021-09-05T10:04:00+00:00
EUR	42215.3206	2021-09-05T10:04:00+00:00
USD	50166.5717	2021-09-05T10:04:00+00:00
GBP	36182.1883	2021-09-05T10:04:00+00:00
EUR	42215.3206	2021-09-05T10:04:00+00:00
USD	50166.5717	2021-09-05T10:04:00+00:00
GBP	36182.1883	2021-09-05T10:04:00+00:00
EUR	42215.3206	2021-09-05T10:04:00+00:00
USD	50166.5717	2021-09-05T10:04:00+00:00
GBP	36182.1883	2021-09-05T10:04:00+00:00
EUR	42215.3206	2021-09-05T10:04:00+00:00
USD	50166.5717	2021-09-05T10:04:00+00:00
GBP	36182.1883	2021-09-05T10:04:00+00:00
EUR	42215.3206	2021-09-05T10:04:00+00:00
USD	50166.5717	2021-09-05T10:04:00+00:00
GBP	36182.1883	2021-09-05T10:04:00+00:00
EUR	42215.3206	2021-09-05T10:04:00+00:00
USD	50180.3263	2021-09-05T10:04:00+00:00
GBP	36192.1087	2021-09-05T10:04:00+00:00
EUR	42226.8951	2021-09-05T10:04:00+00:00
USD	50180.3263	2021-09-05T10:04:00+00:00
GBP	36192.1087	2021-09-05T10:04:00+00:00
EUR	42226.8951	2021-09-05T10:04:00+00:00
USD	50218.8284	2021-09-05T10:08:00+00:00
GBP	36219.878	2021-09-05T10:08:00+00:00
EUR	42259.2948	2021-09-05T10:08:00+00:00
USD	50204.0157	2021-09-05T10:13:00+00:00
GBP	36209.1945	2021-09-05T10:13:00+00:00
EUR	42246.8298	2021-09-05T10:13:00+00:00
USD	50261.2232	2021-09-05T10:18:00+00:00
GBP	36250.4549	2021-09-05T10:18:00+00:00
EUR	42294.9701	2021-09-05T10:18:00+00:00
USD	50273.6607	2021-09-05T10:23:00+00:00
GBP	36259.4253	2021-09-05T10:23:00+00:00
EUR	42305.4363	2021-09-05T10:23:00+00:00
USD	50201.6522	2021-09-05T10:28:00+00:00
GBP	36207.4898	2021-09-05T10:28:00+00:00
EUR	42244.8409	2021-09-05T10:28:00+00:00
USD	50087.9628	2021-09-05T10:33:00+00:00
GBP	36125.4923	2021-09-05T10:33:00+00:00
EUR	42149.1709	2021-09-05T10:33:00+00:00
USD	50086.6814	2021-09-05T10:38:00+00:00
GBP	36124.5682	2021-09-05T10:38:00+00:00
EUR	42148.0927	2021-09-05T10:38:00+00:00
USD	50084.0954	2021-09-05T10:43:00+00:00
GBP	36122.703	2021-09-05T10:43:00+00:00
EUR	42145.9165	2021-09-05T10:43:00+00:00
USD	49994.868	2021-09-05T10:48:00+00:00
GBP	36058.3486	2021-09-05T10:48:00+00:00
EUR	42070.8314	2021-09-05T10:48:00+00:00
USD	50051.1967	2021-09-05T10:53:00+00:00
GBP	36098.9751	2021-09-05T10:53:00+00:00
EUR	42118.2322	2021-09-05T10:53:00+00:00
USD	50062.4021	2021-09-05T10:54:00+00:00
GBP	36107.0569	2021-09-05T10:54:00+00:00
EUR	42127.6615	2021-09-05T10:54:00+00:00
USD	50052.9817	2021-09-05T10:55:00+00:00
GBP	36100.2626	2021-09-05T10:55:00+00:00
EUR	42119.7342	2021-09-05T10:55:00+00:00
USD	50049.5027	2021-09-05T10:55:00+00:00
GBP	36097.7534	2021-09-05T10:55:00+00:00
EUR	42116.8067	2021-09-05T10:55:00+00:00
USD	50027.23	2021-09-05T10:56:00+00:00
GBP	36081.6894	2021-09-05T10:56:00+00:00
EUR	42098.0641	2021-09-05T10:56:00+00:00
USD	50027.0106	2021-09-05T10:57:00+00:00
GBP	36081.5311	2021-09-05T10:57:00+00:00
EUR	42097.8795	2021-09-05T10:57:00+00:00
USD	50027.0106	2021-09-05T10:57:00+00:00
GBP	36081.5311	2021-09-05T10:57:00+00:00
